구이름,동이름,공영민영개수총합계,공영민영면적총합계,공영개수,공영면수,민영개수,민영면수,노상총개수,노상총면수,노상시영개수,노상시영면수,노상구영개수,노상구영면수,노외총합개수,노외총합면수,노외시영개수,노외시영면수,노외구영개수,노외국영면수,노외민영개수,노외민영면수,건축물총개수,건축물총면적,일반주택개수,일반주택면적,공동주택개수,공동주택면적,일반건축물개수,일반건축물면적
성북구,동선동,612,6177,13,444,599,5733,8,401,-,-,8,401,10,111,-,-,5,43,5,68,594,5665,182,646,139,1860,273,3159
성북구,종암동,825,13161,17,495,808,12666,8,383,-,-,8,383,11,144,1,21,8,91,2,32,806,12634,286,779,258,9508,262,2347
성북구,석관동,724,9890,17,517,707,9373,10,450,-,-,10,450,11,177,-,-,7,67,4,110,703,9263,286,638,205,5165,212,3460
강북구,소계,11645,96636,51,5286,11594,91350,23,3056,1,16,22,3040,50,2704,-,-,28,2230,22,474,11572,90876,5900,11979,3533,58673,2139,20224
강북구,번1동,1081,6575,2,429,1079,6146,1,244,-,-,1,244,3,244,-,-,1,185,2,59,1077,6087,676,1185,179,2313,222,2589
강북구,번2동,500,4328,3,363,497,3965,1,156,-,-,1,156,2,207,-,-,2,207,-,-,497,3965,296,757,131,2299,70,909
강북구,번3동,129,4842,1,4,128,4838,1,4,-,-,1,4,1,1,-,-,-,-,1,1,127,4837,16,48,46,3840,65,949
강북구,수유1동,1026,5866,6,489,1020,5377,2,183,-,-,2,183,5,340,-,-,4,306,1,34,1019,5343,440,855,395,3051,184,1437
강북구,수유2동,860,7176,3,394,857,6782,2,332,-,-,2,332,1,62,-,-,1,62,-,-,857,6782,354,813,331,5082,172,887
강북구,수유3동,1338,7327,4,366,1334,6961,3,329,-,-,3,329,5,89,-,-,1,37,4,52,1330,6909,698,1401,350,3196,282,2312
강북구,삼양동,687,6786,8,425,679,6361,1,76,-,-,1,76,7,349,-,-,7,349,-,-,679,6361,255,506,308,4961,116,894
강북구,미아동,971,7367,3,476,968,6891,2,321,1,16,1,305,1,155,-,-,1,155,-,-,968,6891,528,1036,261,2762,179,3093
강북구,송중동,1105,9441,6,477,1099,8964,2,296,-,-,2,296,7,257,-,-,4,181,3,76,1096,8888,673,1350,202,5000,221,2538
강북구,송천동,980,7837,5,558,975,7279,3,395,-,-,3,395,8,275,-,-,2,163,6,112,969,7167,533,959,223,4378,213,1830
강북구,삼각산동,45,12858,1,28,44,12830,1,28,-,-,1,28,2,36,-,-,-,-,2,36,42,12794,9,16,7,12443,26,335
강북구,우이동,1185,6600,4,531,1181,6069,2,291,-,-,2,291,5,344,-,-,2,240,3,104,1178,5965,554,1204,460,3990,164,771
강북구,인수동,1738,9633,5,746,1733,8887,2,401,-,-,2,401,3,345,-,-,3,345,-,-,1733,8887,868,1849,640,5358,225,1680
도봉구,소계,9868,110933,465,5258,9403,105675,412,2897,-,-,412,2897,75,2901,3,599,50,1762,22,540,9381,105135,4240,7927,3213,73753,1928,23455
도봉구,쌍문1동,898,7242,42,482,856,6760,38,423,-,-,38,423,6,79,-,-,4,59,2,20,854,6740,343,162,393,4946,118,1632
도봉구,쌍문2동,775,6249,51,334,724,5915,46,199,-,-,46,199,6,179,-,-,5,135,1,44,723,5871,274,710,301,3844,148,1317
도봉구,쌍문3동,779,5627,29,203,750,5424,26,147,-,-,26,147,5,110,-,-,3,56,2,54,748,5370,351,688,257,3535,140,1147
도봉구,쌍문4동,164,4711,18,181,146,4530,16,144,-,-,16,144,3,57,-,-,2,37,1,20,145,4510,41,84,80,3987,24,439
도봉구,방학1동,1227,13443,68,448,1159,12995,66,421,-,-,66,421,2,27,-,-,2,27,-,-,1159,12995,584,1084,275,7910,300,4001
도봉구,방학2동,1312,5715,58,473,1254,5242,51,232,-,-,51,232,8,248,-,-,7,241,1,7,1253,5235,689,1346,414,3209,150,680
도봉구,방학3동,151,6835,7,101,144,6734,5,75,-,-,5,75,4,58,-,-,2,26,2,32,142,6702,20,58,49,5928,73,716
도봉구,창1동,401,6767,16,194,385,6573,14,81,-,-,14,81,2,113,-,-,2,113,-,-,385,6573,175,316,121,5155,89,1102
도봉구,창2동,1048,10273,34,338,1014,9935,30,207,-,-,30,207,6,156,-,-,4,131,2,25,1012,9910,306,649,485,6715,221,2546
도봉구,창3동,833,3729,24,333,809,3396,22,238,-,-,22,238,4,113,-,-,2,95,2,18,807,3378,503,782,180,2063,124,533
도봉구,창4동,98,10805,11,299,87,10506,10,111,-,-,10,111,1,188,-,-,1,188,-,-,87,10506,2,10,19,7900,66,2596
도봉구,창5동,458,11136,19,217,439,10919,17,101,-,-,17,101,2,116,1,107,1,9,-,-,439,10919,94,234,160,7884,185,2801
도봉구,도봉1동,1351,7935,72,1148,1279,6787,64,403,-,-,64,403,16,859,2,492,6,253,8,114,1271,6673,647,1385,419,3748,205,1540
도봉구,도봉2동,373,10466,16,507,357,9959,7,115,-,-,7,115,10,598,-,-,9,392,1,206,356,9753,211,419,60,6929,85,2405
노원구,소계,6024,178194,178,3662,5846,174532,138,2001,1,23,137,1978,52,2058,2,95,38,1566,12,397,5834,174135,1941,6683,1842,128465,2051,38987
노원구,월계1동,577,9316,14,294,563,9022,11,170,-,-,11,170,6,271,2,95,1,29,3,147,560,8875,184,420,212,5962,164,2493
노원구,월계2동,157,9180,3,40,154,9140,2,10,-,-,2,10,1,30,-,-,1,30,-,-,154,9140,64,251,44,7641,46,1248
노원구,월계3동,56,10996,1,4,55,10992,1,4,-,-,1,4,1,80,-,-,-,-,1,80,54,10912,20,41,13,8673,21,2198
노원구,공릉2동,634,18724,16,163,618,18561,14,128,-,-,14,128,2,35,-,-,2,35,-,-,618,18561,295,773,164,13402,159,4386
노원구,하계1동,302,10360,12,380,290,9980,8,110,-,-,8,110,4,270,-,-,4,270,-,-,290,9980,80,393,82,6511,128,3076
노원구,하계2동,15,5520,-,-,15,5520,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,5520,1,27,6,5318,8,175
노원구,중계본동,286,9135,9,139,277,8996,6,124,-,-,6,124,3,15,-,-,3,15,-,-,277,8996,46,155,124,6948,107,1893
노원구,중계1동,69,9864,2,69,67,9795,2,69,-,-,2,69,-,-,-,-,-,-,-,-,67,9795,4,170,15,7684,48,1941
노원구,중계4동,155,6500,3,53,152,6447,2,17,-,-,2,17,1,36,-,-,1,36,-,-,152,6447,16,49,40,5035,96,1363
노원구,상계1동,628,14425,18,497,610,13928,13,321,-,-,13,321,8,265,-,-,5,176,3,89,607,13839,173,559,191,10511,243,2769
